query	k__Animalia;p__location_output
058acb19e14ec8376d76cc42fa3d5a10	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Leptoceridae;g__Nectopsyche;s__Nectopsyche exquisita
05977c252b54cfb533f5a6195c293c49	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Paria;s__Paria fragariae
059cec4a1fb8cd5a6f6633947bb9ec68	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
059e418761d0c375ca68edff8ee0561f	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
05a2176c88c7fc89b1b52c1c17f48f55	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
05a309962c0fee1ef2ec94f2759bd57b	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Vespidae;g__Dolichovespula;s__Dolichovespula arenaria
05a7617a1451f874eee51773f954742f	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Philodromus;s__Philodromus rufus
05ae9d6195abd011c6888aec81837d81	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Limnephilidae;g__Platycentropus;s__Platycentropus radiatus
05bbf7242488ca15f872919da0ed99f9	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera
05be2afad0140299192eb73b914e03e1	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Cerambycidae;g__Ecyrus;s__Ecyrus dasycerus
05c09faa5fa868b5e91134d93a57904f	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Philodromus;s__Philodromus rufus
05c8293df9dc44bde901eae7f797b46f	k__Animalia;p__Arthropoda;c__Insecta;o__Psocodea;f__Psocidae;g__Metylophorus;s__Metylophorus novaescotiae
05c8959918a8d8e8acfecea8e92ecaf4	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Metalimnobia
05c8ee84ad4ece37d8983d71256f5048	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Procladius;s__Procladius rufovittatus
05d5e1936f8ed6fb3f3ccacff81d7667	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Rhipidia
05e314bdfcf36233f90e5229c2f47e9a	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae;g__Acrolophus;s__Acrolophus BioLep447
05ea7d2908295a6350b6ac161d6b3e09	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Micropsectra
06039c0fa65bb1104effd47d0dfb72f4	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
060adf64e46fae7f9de83284e8c39002	k__Animalia;p__Arthropoda;c__Insecta
062a9e49335030ef3789e4dfffabeae7	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
062f6cd25d1ba7607ffb46030b747adc	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae;g__Camponotus
