Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro160424		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160424
oro160425		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160425
oro160426		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160426
oro160427		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160427
oro160428		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160428
oro160429		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160429
oro160430		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160430
oro160431		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160431
oro160434		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160434
oro160435		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160435
oro160436		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160436
oro160437		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160437
oro160438		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160438
oro160439		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160439
oro160440		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160440
oro160441		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160441
oro160442		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160442
oro160443		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160443
oro160444		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160444
oro160445		PRJNA518082	not collected		feces metagenome	2016-05-20	USA: Brown Lane Hollis NH	not collected	sample	oro160445
oro160446		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Brown Lane Hollis NH	not collected	sample	oro160446
