Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro162792		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162792
oro162793		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162793
oro162795		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162795
oro162796		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162796
oro162797		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162797
oro162798		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162798
oro162799		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162799
oro162800		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162800
oro162801		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162801
oro162802		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162802
oro162803		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162803
oro162804		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162804
oro162806		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162806
oro162807		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Canterbury NH	not collected	sample	oro162807
oro162808		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Canterbury NH	not collected	sample	oro162808
oro162809		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Canterbury NH	not collected	sample	oro162809
oro162810		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Canterbury NH	not collected	sample	oro162810
oro162811		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Canterbury NH	not collected	sample	oro162811
oro162812		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Canterbury NH	not collected	sample	oro162812
