SeqID1,SeqID2,betadistance,Method,Filt,BetaType,RareType,LegendLabel
libA,libD,0.0204081632653061,deblur,extra,dice,rarefied,dice - extra
libB,libC,0,deblur,extra,dice,rarefied,dice - extra
libB,libD,0,deblur,extra,dice,rarefied,dice - extra
libC,libD,0,deblur,extra,dice,rarefied,dice - extra
libA,libB,0.0740740740740741,deblur,standard,dice,rarefied,dice - standard
libA,libC,0.0769230769230769,deblur,standard,dice,rarefied,dice - standard
libA,libD,0.0943396226415094,deblur,standard,dice,rarefied,dice - standard
libB,libC,0.04,deblur,standard,dice,rarefied,dice - standard
libB,libD,0.0588235294117647,deblur,standard,dice,rarefied,dice - standard
libC,libD,0.0204081632653061,deblur,standard,dice,rarefied,dice - standard
libA,libB,0.0769230769230769,deblur,basic,dice,rarefied,dice - basic
libA,libC,0.0769230769230769,deblur,basic,dice,rarefied,dice - basic
libA,libD,0.111111111111111,deblur,basic,dice,rarefied,dice - basic
libB,libC,0,deblur,basic,dice,rarefied,dice - basic
libB,libD,0.04,deblur,basic,dice,rarefied,dice - basic
libC,libD,0.04,deblur,basic,dice,rarefied,dice - basic
libA,libB,0.0388,deblur,extra,bray,rarefied,bray - extra
libA,libC,0.0436,deblur,extra,bray,rarefied,bray - extra
libA,libD,0.0468,deblur,extra,bray,rarefied,bray - extra
libB,libC,0.0332,deblur,extra,bray,rarefied,bray - extra
libB,libD,0.0448,deblur,extra,bray,rarefied,bray - extra
libC,libD,0.0422,deblur,extra,bray,rarefied,bray - extra
libA,libB,0.04,deblur,standard,bray,rarefied,bray - standard
libA,libC,0.0446,deblur,standard,bray,rarefied,bray - standard
libA,libD,0.0442,deblur,standard,bray,rarefied,bray - standard
libB,libC,0.0544,deblur,standard,bray,rarefied,bray - standard
libB,libD,0.0554,deblur,standard,bray,rarefied,bray - standard
libC,libD,0.042,deblur,standard,bray,rarefied,bray - standard
libA,libB,0.0604,deblur,basic,bray,rarefied,bray - basic
libA,libC,0.0592,deblur,basic,bray,rarefied,bray - basic
libA,libD,0.0664,deblur,basic,bray,rarefied,bray - basic
libB,libC,0.0584,deblur,basic,bray,rarefied,bray - basic
libB,libD,0.0578,deblur,basic,bray,rarefied,bray - basic
libC,libD,0.0442,deblur,basic,bray,rarefied,bray - basic
