SeqID,StudyID,SampleType,Library,WOY,DNAplate,Site,Date,MonthStart
oro160698,oro16,sample,libC,26,31,ROL,2016-07-01,June
oro160700,oro16,sample,libC,26,31,ROL,2016-07-01,June
oro160701,oro16,sample,libC,26,31,ROL,2016-07-01,June
oro160703,oro16,sample,libC,26,31,ROL,2016-07-01,June
oro160704,oro16,sample,libC,26,31,ROL,2016-07-01,June
oro160706,oro16,sample,libC,26,31,ROL,2016-07-01,June
oro161134,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161135,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161136,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161137,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161138,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161139,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161140,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161141,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161142,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161143,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161144,oro16,sample,libA,21,05,PEN,2016-05-26,May
oro161146,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161147,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161148,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161149,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161150,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161151,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161152,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161153,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161154,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161155,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161156,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161157,oro16,sample,libA,22,05,PEN,2016-06-03,May
oro161158,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161159,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161160,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161161,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161162,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161164,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161165,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161166,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161167,oro16,sample,libA,23,05,PEN,2016-06-09,June
